[2025-07-23T08:43:46.589+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-07-23T08:43:46.812+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T08:43:46.820+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: saveDatabase.save_database_1 scheduled__2025-07-22T08:15:00+00:00 [queued]>
[2025-07-23T08:43:46.821+0000] {taskinstance.py:2306} INFO - Starting attempt 3 of 13
[2025-07-23T08:43:46.833+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): save_database_1> on 2025-07-22 08:15:00+00:00
[2025-07-23T08:43:46.841+0000] {standard_task_runner.py:63} INFO - Started process 32878 to run task
[2025-07-23T08:43:46.846+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'saveDatabase', 'save_database_1', 'scheduled__2025-07-22T08:15:00+00:00', '--job-id', '34', '--raw', '--subdir', 'DAGS_FOLDER/dag_saveDB_redis.py', '--cfg-path', '/tmp/tmp2dchkmey']
[2025-07-23T08:43:48.193+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ADS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.203+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AGM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.330+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AGR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.472+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ANV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.473+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý APG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.491+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ASG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.492+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý APH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.575+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ASM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.746+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ASP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.789+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BAF: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.802+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BBC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.824+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BCE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.945+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý AST: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:48.972+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BCG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.060+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BCM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.087+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BFC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.105+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BHN: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.187+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BIC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.226+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BID: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.321+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BKG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.338+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BMC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.364+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BMI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.429+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BMP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.468+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BRC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.614+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BSR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.650+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BSI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.662+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BTP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.696+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BTT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.718+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BVH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.852+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý BWE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.936+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý C32: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.953+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý C47: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.996+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CCI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:49.997+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CCL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.119+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CDC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.193+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CHP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.226+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CIG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.265+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CII: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.277+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CKG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.381+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CLC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.439+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CLL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.467+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CLW: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.528+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CMG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.533+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CMV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.637+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CMX: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.686+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CNG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.735+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý COM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.795+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CRC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.798+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CRE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.878+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CSM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:50.932+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CSV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.020+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CTD: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.073+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CTF: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.077+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CTG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.136+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CTI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.163+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CTR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.272+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CTS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.324+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý CVT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.351+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý D2D: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.409+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DAH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.444+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DAT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.504+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DBC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.599+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DBD: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.625+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DBT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.660+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DC4: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.692+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DCL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.752+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DCM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.861+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DGC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.888+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DGW: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.945+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DHA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:51.961+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DHC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.002+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DHG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.100+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DHM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.131+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DIG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.187+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DLG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.233+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DMC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.247+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DPG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.340+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DPM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.381+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DPR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.428+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DQC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.505+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DRH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.518+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DRC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.606+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DRL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.650+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DSC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.675+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DSE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.735+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DSN: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.766+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DTA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.842+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DTL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.926+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DVP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.933+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DTT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:52.987+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DXG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.017+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DXS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.104+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý DXV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.185+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý E1VFVN30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.208+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý EIB: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.244+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý ELC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.279+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý EVE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.333+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý EVF: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.421+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý EVG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.474+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FCM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.507+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FCN: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.537+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FDC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.600+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FIR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.670+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FIT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.729+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FMC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.757+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FPT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.904+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUCTVGF3: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.930+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FTS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.964+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FRT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.968+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUCTVGF4: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:53.997+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUCTVGF5: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.189+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUCVREIT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.230+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUEABVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.268+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUEBFVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.275+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUEDCMID: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.301+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUEFCV50: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.467+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUEIP100: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.560+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUEKIV30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.591+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUEKIVFS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.592+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUEKIVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.631+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUEMAV30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.713+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUEMAVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.825+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUESSV30: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.869+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUESSVFL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.870+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUESSV50: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.947+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUETCC50: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:54.973+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUEVFVND: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.107+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý FUEVN100: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.150+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý GDT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.153+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý GAS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.205+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý GEE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.226+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý GEG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.350+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý GEX: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.446+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý GMD: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.468+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý GIL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.502+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý GMH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.526+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý GSP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.614+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý GTA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.695+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý GVR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.740+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HAG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.769+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HAH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.786+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HAP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.861+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HAR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.932+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HAS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:55.983+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HAX: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:56.054+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HCM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:56.081+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HCD: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:56.097+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HDB: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:56.186+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HDC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:56.218+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HDG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:56.342+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HHP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:56.360+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HHS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:56.374+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HHV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:56.441+0000] {History_Min.py:56} ERROR - ❌ Lỗi khi xử lý HID: Expecting value: line 1 column 1 (char 0)
